Wall time,Step,Value
1500303913.6068144,5,0.421875
1500303919.2195773,18,0.328125
1500303921.7938342,24,0.3828125
1500303928.7253308,40,0.3515625
1500303929.5501215,42,0.328125
1500303930.835741,45,0.3203125
1500303931.6565385,47,0.4375
1500303934.2015414,53,0.4609375
1500303935.7198637,56,0.34375
1500303941.53921,71,0.3828125
1500303942.5470402,74,0.4921875
1500303944.3262122,79,0.3203125
1500303947.1899242,87,0.3984375
1500303949.9154248,94,0.375
1500303952.9497752,102,0.3125
1500303954.0615187,105,0.3203125
1500303954.48575,106,0.390625
1500303957.0844145,113,0.3515625
1500303961.5322893,126,0.703125
1500303966.365895,139,0.78125
1500303970.5251238,150,0.7421875
1500303972.992881,155,0.6953125
1500303974.5366082,158,0.7578125
1500303978.0424845,167,0.3359375
1500303978.2560985,168,0.25
1500303986.8758461,178,0.8125
1500303988.780981,183,0.7734375
1500303989.5944083,185,0.734375
1500303989.9654167,186,0.71875
1500303991.625119,190,0.7578125
1500303994.6948102,198,0.75
1500303998.127142,206,0.8359375
1500303998.5098972,207,0.765625
1500304000.488196,212,0.890625
1500304004.4226983,223,0.8515625
1500304006.6317396,229,0.8515625
1500304008.3768284,234,0.8203125
1500304009.4778585,237,0.78125
1500304013.8985639,249,0.859375
1500304017.1102562,255,0.875
1500304019.1585894,260,0.7734375
1500304022.2716033,267,0.828125
1500304024.0018992,271,0.8046875
1500304024.9870472,273,0.875
1500304033.1751108,292,0.84375
1500304035.1580172,297,0.7890625
1500304035.581648,298,0.8828125
1500304037.5693793,303,0.8984375
1500304039.579712,308,0.890625
1500304040.3662868,310,0.7734375
1500304043.620085,318,0.7890625
1500304044.010042,319,0.8359375
1500304046.9310029,326,0.8984375
1500304048.47972,330,0.9140625
1500304056.6363888,339,0.8046875
1500304060.6576972,347,0.875
1500304066.6021955,363,0.9296875
1500304068.0135405,367,0.8828125
1500304071.453184,377,0.8203125
1500304072.148325,379,0.859375
1500304087.1937277,421,0.8828125
1500304087.5704858,422,0.8984375
1500304088.2894156,424,0.8828125
1500304090.4149208,430,0.890625
1500304093.8155234,439,0.8515625
1500304094.5198698,441,0.875
1500304094.8689983,442,0.8828125
1500304095.9630113,445,0.921875
1500304098.0892124,451,0.765625
1500304101.2814572,460,0.90625
1500304102.4713707,463,0.84375
1500304102.8241477,464,0.8359375
1500304106.3989928,474,0.8828125
1500304112.450655,491,0.84375
1500304113.1577637,493,0.8125
1500304122.568681,507,0.84375
1500304124.6339288,512,0.9296875
1500304125.3573928,514,0.8203125
1500304126.4469187,517,0.8984375
1500304129.3937156,525,0.9140625
1500304131.5707152,531,0.84375
1500304132.282325,533,0.875
1500304133.3652048,536,0.875
1500304135.518359,542,0.8359375
1500304137.3151116,547,0.921875
1500304141.0570636,557,0.8125
1500304143.7623382,563,0.8515625
1500304147.0418863,569,0.8203125
1500304148.9541974,573,0.8515625
1500304151.86989,579,0.8359375
1500304152.7290719,581,0.890625
1500304153.158353,582,0.953125
1500304154.1364489,584,0.84375
1500304154.9853754,586,0.7734375
1500304155.4157941,587,0.8515625
1500304157.5385892,592,0.8671875
1500304157.9586349,593,0.875
1500304161.7828832,602,0.859375
1500304164.3523064,608,0.8515625
1500304165.1920898,610,0.890625
1500304167.314055,615,0.90625
1500304169.5591784,620,0.828125
1500304170.3994722,622,0.8359375
1500304175.8985257,634,0.8828125
1500304178.9670005,641,0.90625
1500304179.4036212,642,0.859375
1500304180.2186074,644,0.8046875
1500304181.0591917,646,0.8828125
1500304181.502533,647,0.84375
1500304182.345798,649,0.765625
1500304187.4518383,661,0.9296875
1500304188.7178562,664,0.8984375
1500304190.402292,668,0.921875
1500304191.6895247,671,0.8359375
1500304192.9992259,674,0.8984375
1500304199.6936603,678,0.65625
1500304200.1484861,679,0.8671875
1500304201.8569474,683,0.8203125
1500304204.018694,688,0.8515625
1500304208.964506,699,0.828125
1500304210.7263656,703,0.828125
1500304212.0923822,706,0.8984375
1500304215.6457481,714,0.8359375
1500304217.3507864,718,0.8984375
1500304218.6652315,721,0.7734375
1500304219.092751,722,0.8203125
1500304219.5299513,723,0.859375
1500304222.5199661,730,0.671875
1500304225.1152022,736,0.8828125
1500304225.9816704,738,0.859375
1500304226.4097483,739,0.9296875
1500304228.1357844,743,0.8671875
1500304229.8445525,747,0.9140625
1500304231.5944462,751,0.953125
1500304232.0207672,752,0.890625
1500304233.7915196,756,0.875
1500304238.0338645,765,0.875
1500304240.0919232,769,0.84375
1500304240.5876796,770,0.859375
1500304241.0675535,771,0.8671875
1500304242.0915866,773,0.859375
1500304242.4872618,774,0.859375
1500304245.3611634,780,0.8828125
1500304247.7480474,784,0.90625
1500304248.202306,785,0.90625
1500304249.1089132,787,0.8359375
1500304250.0171525,789,0.84375
1500304251.399588,792,0.875
1500304251.8876066,793,0.875
1500304252.337189,794,0.8515625
1500304252.7812772,795,0.8203125
1500304254.25713,798,0.90625
1500304256.0334992,802,0.859375
1500304258.3008935,807,0.859375
1500304258.728798,808,0.8984375
1500304259.1702666,809,0.859375
1500304261.8217902,815,0.890625
1500304269.7091115,832,0.8671875
1500304271.6892035,836,0.875
1500304272.6194417,838,0.8515625
1500304275.0165555,843,0.90625
1500304289.8333435,867,0.890625
1500304290.648767,869,0.8515625
1500304292.725633,874,0.8828125
1500304293.534691,876,0.921875
1500304295.1564367,880,0.8515625
1500304295.9647331,882,0.859375
1500304299.213894,890,0.84375
1500304301.767119,896,0.890625
1500304303.5810657,900,0.8828125
1500304306.4686766,907,0.8515625
1500304307.2865067,909,0.875
1500304309.7382212,915,0.90625
1500304310.5692263,917,0.875
1500304311.805753,920,0.953125
1500304313.028982,923,0.8671875
1500304316.3580227,931,0.8828125
1500304316.7841358,932,0.8671875
1500304318.0719204,935,0.859375
1500304320.9684324,942,0.8671875
1500304322.2075,945,0.921875
1500304325.8822348,954,0.8984375
1500304327.6340568,958,0.859375
1500304328.9381502,961,0.8828125
1500304329.348119,962,0.890625
1500304333.260323,971,0.8671875
1500304333.8142695,972,0.90625
1500304335.4692106,976,0.765625
1500304336.2878034,978,0.875
1500304336.690301,979,0.90625
1500304338.6301787,983,0.859375
1500304339.1727166,984,0.9140625
1500304340.6876845,987,0.84375
1500304341.1768386,988,0.8515625
1500304344.6037064,996,0.875
1500304346.3127644,1000,0.828125
1500304347.1347747,1002,0.8359375
1500304347.976627,1004,0.7421875
1500304348.3963783,1005,0.8671875
1500304357.038957,1014,0.859375
1500304358.4355736,1017,0.890625
1500304361.7658832,1025,0.9140625
1500304362.5955236,1027,0.8828125
1500304364.806853,1032,0.921875
1500304366.8906474,1037,0.8671875
1500304369.8319767,1044,0.8984375
1500304375.3277175,1057,0.90625
1500304377.9018438,1063,0.8515625
1500304379.1900668,1066,0.890625
1500304380.0462317,1068,0.8828125
1500304381.8295927,1072,0.90625
1500304383.5928187,1076,0.859375
1500304384.4606457,1078,0.875
1500304386.661329,1083,0.8984375
1500304387.2829463,1084,0.9296875
1500304387.7485297,1085,0.921875
1500304391.2879407,1093,0.8515625
1500304393.9398797,1099,0.8984375
1500304395.7066722,1103,0.90625
1500304396.1887786,1104,0.8984375
1500304400.5590048,1114,0.9453125
1500304402.7295003,1119,0.8828125
1500304409.2636356,1133,0.8515625
1500304410.1484752,1135,0.8828125
1500304418.9913998,1155,0.8203125
1500304419.4259043,1156,0.84375
1500304421.1513894,1160,0.8671875
1500304421.5813067,1161,0.9140625
1500304422.0205548,1162,0.84375
1500304429.8846588,1180,0.90625
1500304436.9650066,1185,0.90625
1500304440.106033,1192,0.84375
1500304440.5357416,1193,0.9140625
1500304443.1603582,1199,0.9140625
1500304444.1535282,1201,0.921875
1500304446.5812902,1206,0.8671875
