Wall time,Step,Value
1500272450.4434419,5,0.21875
1500272454.147497,18,0.234375
1500272455.870216,24,0.3125
1500272460.3060517,40,0.25
1500272460.8252378,42,0.28125
1500272461.6051116,45,0.25
1500272462.129736,47,0.25
1500272463.6877036,53,0.25
1500272464.5001316,56,0.3125
1500272468.509296,71,0.3671875
1500272469.3296504,74,0.375
1500272470.7133834,79,0.359375
1500272472.8187618,87,0.4140625
1500272474.6652052,94,0.3984375
1500272476.774107,102,0.46875
1500272477.5779023,105,0.4609375
1500272477.844565,106,0.4765625
1500272479.6969721,113,0.46875
1500272483.707891,126,0.546875
1500272487.3791857,139,0.640625
1500272490.3327358,150,0.578125
1500272491.6893039,155,0.5859375
1500272492.4926195,158,0.6328125
1500272494.9553568,167,0.7109375
1500272495.1344175,168,0.6964285969734192
1500272501.7246184,178,0.3671875
1500272503.1407394,183,0.7265625
1500272503.7098746,185,0.734375
1500272503.987314,186,0.78125
1500272505.0819793,190,0.46875
1500272507.269488,198,0.7734375
1500272509.6004446,206,0.8125
1500272509.8736508,207,0.7578125
1500272511.265676,212,0.734375
1500272514.8002467,223,0.78125
1500272516.4575768,229,0.609375
1500272518.0341074,234,0.40625
1500272518.9359143,237,0.71875
1500272522.267364,249,0.7109375
1500272523.9320288,255,0.6796875
1500272525.337237,260,0.7578125
1500272527.5798879,267,0.734375
1500272528.6917922,271,0.75
1500272529.253541,273,0.7421875
1500272534.5904953,292,0.765625
1500272536.082409,297,0.7421875
1500272536.4384296,298,0.8046875
1500272538.0532787,303,0.7578125
1500272539.895483,308,0.8515625
1500272540.5692968,310,0.7578125
1500272543.365387,318,0.796875
1500272543.697797,319,0.8359375
1500272545.7688844,326,0.8046875
1500272546.9163964,330,0.8203125
1500272553.432198,339,0.8359375
1500272555.7964785,347,0.828125
1500272560.5258894,363,0.875
1500272561.672088,367,0.84375
1500272564.5501802,377,0.828125
1500272565.1236558,379,0.8203125
1500272578.2054198,421,0.78125
1500272578.4986594,422,0.8125
1500272579.0815415,424,0.796875
1500272580.8672523,430,0.7734375
1500272583.6066697,439,0.8203125
1500272584.1916552,441,0.8125
